Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 ActionOfAgent0 WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
45 26470 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
46 26475 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
47 26480 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
48 26485 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
49 26490 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
50 26495 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
51 26500 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
52 26505 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
53 26510 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
54 26515 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
